id,serviceId,name,description,extent,extentType,uri,serviceAtLocationId
db8bdd5f-0502-48c3-9254-61ab9f90144d,cfe9cd07-36f6-441f-9cc1-12705927c93b,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,ce1fbb04-e994-469a-8ae3-685faeb84dd8
9866b7bc-b6cd-4f3a-871b-4142b070752f,cc8791f4-a8a8-4c06-8dc7-1caa9e29172f,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,c1018d12-5bf4-45b7-97ab-b1ab43749640
4956bca5-7331-4323-ae87-a8624aa9a981,a27786d8-5be2-4443-bbca-e7f1698323de,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,6e1f8e47-9e1a-4915-9dd9-0cd4121f764d
816a0941-026e-4d87-8c9f-4c2aa2068375,4f604149-6bb6-46fd-b908-9dac2cbad9f9,Statewide,Statewide,"[{""scope"":""state"",""state"":""TX""}]",TEXT,,fba99fd9-c1da-4272-9615-26b35fa2f566
df916202-ffac-4dde-b8c6-4680cbc62a14,4697e161-0346-4ebd-be75-c6557c2836ff,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Blanco"",""state"":""TX""},{""scope"":""county"",""county"":""Burnet"",""state"":""TX""},{""scope"":""county"",""county"":""Caldwell"",""state"":""TX""},{""scope"":""county"",""county"":""Fayette"",""state"":""TX""},{""scope"":""county"",""county"":""Hays"",""state"":""TX""},{""scope"":""county"",""county"":""Lee"",""state"":""TX""},{""scope"":""county"",""county"":""Llano"",""state"":""TX""},{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county"",""county"":""Williamson"",""state"":""TX""}]",TEXT,,e7843446-88d2-4ac9-845c-a14bbe61064c
9e90d48d-d25d-4806-8023-c094a064d524,2e5e590c-6e78-497d-9f39-8f5b12df2159,"ALL of zip codes 78703, 78705, 78751, and 78756; PORTION of zip code 78722","ALL of zip codes 78703, 78705, 78751, and 78756; PORTION of zip code 78722","[{""scope"":""zip_city"",""zip"":""78703"",""city"":""Austin"",""state"":""TX""},{""scope"":""zip_city"",""zip"":""78705"",""city"":""Austin"",""state"":""TX""},{""scope"":""zip_city"",""zip"":""78722"",""city"":""Austin"",""state"":""TX""},{""scope"":""zip_city"",""zip"":""78751"",""city"":""Austin"",""state"":""TX""},{""scope"":""zip_city"",""zip"":""78756"",""city"":""Austin"",""state"":""TX""}]",TEXT,,87ddba46-863b-412f-b8f5-3a35b5cac85f
68b2d322-57b7-49ad-b9be-d3c8e6cedd41,f4146e82-30b1-483f-a3f4-2685de17f2eb,City of Austin,City of Austin,"[{""scope"":""city"",""city"":""Austin"",""state"":""TX""},{""scope"":""city"",""city"":""Austin"",""state"":""TX""},{""scope"":""city"",""city"":""Austin"",""state"":""TX""}]",TEXT,,111775f9-89f0-4961-ac89-38fc2a6b69e2
cb651099-2334-4b4b-b836-5b0971337b14,f45a5579-a0f7-44d0-9d0a-dcd0c0219a3b,"Travis County, Austin Energy customers","Travis County, Austin Energy customers","[{""scope"":""county"",""county"":""Travis"",""state"":""TX""}]",TEXT,,0721c7a5-3bdb-42a9-82b6-4a4f94ca44d2
1cce6ed6-e868-4497-9257-1e56e38b6b95,5d2637c9-04bd-4755-917b-d90f6916c16c,Austin City limits,Austin City limits,"[{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county_city"",""county"":""Travis"",""city"":""Austin"",""state"":""TX""}]",TEXT,,6ac408b8-96a5-423e-8c93-e17bd6c3dd30
05eb8811-8870-47b5-bb30-b1b580ce2781,f953f1d8-c820-4993-a07b-76cccb7c8a32,Travis County,Travis County,"[{""scope"":""county"",""county"":""Travis"",""state"":""TX""}]",TEXT,,6bf3adea-024a-492c-a031-a8de04387dd4
576457db-3a25-46b5-afd4-a261e381abaf,fb41ca70-b6f4-4862-aaa1-5f47a3fe006b,"Bastrop, Travis, and Williamson Counties","Bastrop, Travis, and Williamson Counties","[{""scope"":""county"",""county"":""Travis"",""state"":""TX""},{""scope"":""county"",""county"":""Bastrop"",""state"":""TX""},{""scope"":""county"",""county"":""Williamson"",""state"":""TX""}]",TEXT,,8b879183-4060-4591-bfa9-cccdf6a3720b
